type,title,duration,director,cast,genre,country,year_range,ratings,description
Movie,37 Seconds,116,Hikari,Mei Kayama,romantic,Japan,2015-2020,7.3,"After her drunken antics result in property damage, an alcoholic journalist enters rehab – and soon meets a fellow resident who changes her outlook."
Movie,40 Sticks,93,Victor Gatonye,Robert Agengo,thrillers,Kenya,2015-2020,6.15,A terminally ill secret agent accepts a risky mission in exchange for an experimental drug that might save him – if he can survive its side effects.
Movie,42 Grams,81,Jack C. Newell,Jake Bickelhaupt,documentary,United States,2015-2020,4.7,"A reporter interviews three convicts on death row for a documentary but as their stories emerge, so do her own true motivations for soliciting them."
Movie,48 Christmas Wishes,84,"Marco Deufemia, Justin G. Dyck",Khiyla Aynne,commedies,Canada,2015-2020,4.0,"While attending one of India's premier colleges, three miserable engineering students and best friends struggle to beat the school's draconian system."
Movie,4L,105,Gerardo Olivares,Jean Reno,dramas,Spain,2015-2020,5.9,"A Muslim women's activist group in India protests against oral divorces, starting a movement to reclaim their religious and constitutional rights."
Movie,4th Man Out,86,Andrew Nackman,Evan Todd,dramas,United States,2010-2015,5.175,The lives of three dissatisfied brothers running a family bridal shop turn topsy-turvy when one of them has to care for his ex-girlfriend's baby.
Movie,4th Republic,120,Ishaya Bako,Kate Henshaw-Nuttal,thrillers,Nigeria,2015-2020,4.699999999999999,"With the help of his friends, a man breaks out of prison in hopes of restoring a lively nightclub."
Movie,5 Flights Up,92,Richard Loncraine,Josh Pais,dramas,United States,2010-2015,6.2,"Hoping to help their dissident parents, two brothers sneak out of Poland and land as refugees in Denmark, where they are prevented from returning home."
Movie,5 Star Christmas,96,Marco Risi,Massimo Ghini,dramas,Italy,2015-2020,4.5,"A fiery executive in a spiritless relationship falls victim to a dominant mafia boss, who imprisons her and gives her one year to fall in love with him."
Movie,5 to 7,97,Victor Levin,Anton Yelchin,dramas,United States,2010-2015,7.3,"Trapped by society and familial obligations, a young manga artist goes on an unconventional journey for sexual freedom and personal liberation."
Movie,50 First Dates,99,Peter Segal,Adam Sandler,romantic,United States,2000-2005,6.75,"After crash-landing on Earth, two royal teen aliens on the run struggle to blend in with humans as they evade intergalactic bounty hunters."
Movie,50/50,100,Jonathan Levine,Joseph Gordon-Levitt,dramas,United States,2010-2015,5.8999999999999995,"When their prison bus crashes in a forest on a rainy night, a group of criminals finds themselves battling wild animals and a mysterious killer."
Movie,5CM,126,Rizal Mantovani,Herjunot Ali,dramas,Indonesia,2010-2015,7.2,"After launching a successful underground restaurant out of their apartment, an ambitious chef and his wife open an all-consuming upscale eatery."
Movie,5Gang,96,Matei Dima,Andrei Selaru,dramas,Romania,2015-2020,1.6,"Paw-esome tales abound when singing furry friends Lampo, Milady, Pilou and Meatball band together."
Movie,6 Balloons,75,Marja Lewis Ryan,Abbi Jacobson,dramas,United States,2015-2020,5.8,"In 1960s Madrid, music producer Guillermo Rojas launches a rock 'n' roll label with the help of aspiring singer Robert and clever producer Maribel."
Movie,6 Days,94,Toa Fraser,Jamie Bell,dramas,New Zealand,2015-2020,0.0,"When a small town's letters to Santa accidentally go up in smoke, two elves venture out of the North Pole to retrieve every missing wish."
Movie,6 Underground,129,Michael Bay,Ryan Reynolds,dramas,United States,2015-2020,6.1,"Hoping to reunite with a dying friend, two longtime pals re-create their desert road trip from Spain to Mali, bringing along his estranged daughter."
Movie,6 Years,80,Hannah Fidell,Taissa Farmiga,romantic,United States,2010-2015,5.6,"A young mechanic comes out to his extremely straight best friends. Once they get used to the idea, they're determined to help him find the right guy."
Movie,6-5=2,103,Bharat Jain,Prashantt Guptha,thrillers,India,2010-2015,4.2,"After the election-night murder of her campaign manager at a polling site, a gubernatorial candidate challenges the corrupt incumbent's victory."
Movie,68 Kill,96,Trent Haaga,Matthew Gray Gubler,thrillers,United States,2015-2020,6.0,Yanto asks his friends to help save a girlfriend who was kidnapped by a mobster. Silly slapstick and campy crimefighting ensues.
TV Show,7 (Seven),1,Nizar Shafi,Rahman,thrillers,India,2015-2020,6.8500000000000005,"A couple finds unexpected drama when, after 40 years of living in the same Brooklyn walk-up, they attempt to sell their apartment and buy a new one."
Movie,7 años,77,Roger Gual,Paco León,thrillers,Spain,2015-2020,0.0,"When the Italian prime minister meets his lover and political rival while on an official trip to Budapest during Christmas week, things go topsy-turvy."
Movie,7 Din Mohabbat In,137,"Meenu Gaur, Farjad Nabi",Mahira Khan,musical,Pakistan,2015-2020,4.9,A young novelist's life is turned upside down when a chance encounter outside a New York hotel leads to an intense affair with a diplomat's wife.
Movie,7 Khoon Maaf,148,Vishal Bhardwaj,Priyanka Chopra,thrillers,India,2010-2015,6.1,"After falling for a pretty art teacher who has no short-term memory, a marine veterinarian has to win her over again every single day."
Movie,90 ML,123,Anita Udeep,Oviya,musical,India,2015-2020,3.3,"After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator."
Movie,93 Days,121,Steve Gukas,Bimbo Akintola,thrillers,Nigeria,2015-2020,6.0,"As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future."
Movie,A 2nd Chance,95,Clay Glen,Nina Pearce,dramas,Australia,2010-2015,4.7,"Six friends decide to undertake a grueling mountain trek, only to find that the difficulties in store for them are not merely physical."
Movie,A Bad Moms Christmas,104,"Jon Lucas, Scott Moore",Mila Kunis,commedies,United States,2015-2020,5.6,"Recruited by a sheriff, volunteers infiltrate county prisons to expose corruption and crime from within the system in this docuseries."
Movie,A Beautiful Life,122,Andrew Lau Wai-Keung,Qi Shu,romantic,China,2010-2015,6.7,A hapless guy agrees to help his stunning – but psychotic – girlfriend rob her loathsome sugar daddy in a scheme as ill-conceived as it is violent.
Movie,A Billion Colour Story,104,Padmakumar Narasimhamurthy,Dhruva Padmakumar,romantic,India,2015-2020,8.0,"Multiple women report their husbands as missing but when it appears they are looking for the same man, a police officer traces their cryptic connection."
Movie,A Boy Called Po,94,John Asher,Christopher Gorham,fantasy,United States,2015-2020,7.3,Loyalties are tested and cruelties revealed when four business partners spend a tense evening debating who will pay for the crime they committed.
Movie,A Bridge Too Far,176,Richard Attenborough,Dirk Bogarde,dramas,United States,1970-1980,7.4,"Given just seven days by a genie to find a girl who will fall for him, a nerdy young man embarks on a madcap and messy search for his would-be wife."
Movie,A California Christmas,107,Shaun Paul Piccinino,Lauren Swickard,romantic,United States,2015-2020,5.425,"Spiced liberally with black comedy, this Bollywood drama follows the lethal love life of a woman who marries numerous men – only to find them flawed."
Movie,A Champion Heart,90,David de Vos,Mandy Grace,dramas,United States,2015-2020,5.5,This series examines the nature of cuteness and how adorability helps some animal species to survive and thrive in a variety of environments.
Movie,A Chaster Marriage,94,Umut Kirca,Emre Karayel,romantic,Turkey,2015-2020,6.324999999999999,"From fangs to claws to venomous stings, they all wield deadly weapons. But which creature will be crowned the fiercest of all?"
Movie,A Choo,101,"Kevin Ko, Peter Tsi",Kai Ko,romantic,Taiwan,2015-2020,5.75,"Powerful cats, indestructible arachnids and flesh-melting pit vipers are just the beginning in this series about Latin America's deadliest creatures."
Movie,A Christmas Prince,92,Alex Zamm,Rose McIver,dramas,United States,2015-2020,5.7,"Shy Natsu awakens as part of a group chosen to ensure the survival of humanity. Together, they have to survive on a changed Earth."
Movie,A Christmas Prince: The Royal Baby,85,John Schultz,Rose McIver,dramas,United States,2015-2020,5.550000000000001,"Witness the wonders of human gestation through cutting-edge CGI, and learn how those nine months inside the womb can affect all aspects of one's life."
Movie,A Christmas Prince: The Royal Wedding,93,John Schultz,Rose McIver,dramas,United States,2015-2020,5.2,Four friends shake up their lives when they meet a new woman in their apartment complex who encourages them to embrace their wild sides.
Movie,A Christmas Special: Miraculous: Tales of Ladybug & Cat Noir,22,Thomas Astruc,Cristina Vee,dramas,France,2015-2020,7.6,Heroic health workers fight to contain an Ebola outbreak when a patient arrives in Lagos with symptoms of the deadly virus. Based on a true story.
Movie,A Cinderella Story,95,Mark Rosman,Hilary Duff,commedies,United States,2000-2005,6.3,"A gymnast lacks the confidence she needs to reach the top. But with the help of her new coach, she has the chance to win a spot on the national team."
Movie,A Cinderella Story: Christmas Wish,86,Michelle Johnston,Laura Marano,commedies,United States,2015-2020,5.2,This documentary captures the joy and heartbreak of families separated by the U.S.-Mexico border sharing a short but bittersweet reunion in 2018.
Movie,A Clockwork Orange,137,Stanley Kubrick,Malcolm McDowell,dramas,United Kingdom,1970-1980,5.750000000000001,"Recruited by a secret society of babysitters, a high schooler battles the Boogeyman and his monsters when they nab the boy she's watching on Halloween."
Movie,A Dangerous Woman,101,Stephen Gyllenhaal,Debra Winger,romantic,United States,1990-1995,5.8,"Stressed-out moms Amy, Carla and Kiki are back, and the looming Christmas holiday gets even more daunting when their mothers show up for a visit."
Movie,A Fairly Odd Summer,68,Savage Steve Holland,Drake Bell,commedies,United States,2010-2015,4.0,"After meeting under awkward circumstances, a glamorous businesswoman and a tradition-bound policeman begin a relationship that changes their lives."
Movie,A Fall from Grace,121,Tyler Perry,Crystal Fox,thrillers,United States,2015-2020,5.85,The curious child of idealistic interfaith parents observes an increasingly intolerant world as his family faces financial strain.
Movie,A Family Affair,111,Tom Fassaert,Tom Fassaert,thrillers,Netherlands,2010-2015,7.1,"After his wife's death, an overworked engineer struggles to care for his son with autism, who regresses into a fantasy world to escape real-life bullying."
Movie,A Family Man,110,Mark Williams,Gerard Butler,dramas,Canada,2015-2020,6.5,A 28-year-old layabout begins to re-examine his life when his dysfunctional family assembles to pay respects to a dying grandmother who won’t pass on.
Movie,A Family Reunion Christmas,29,Robbie Countryman,Loretta Devine,dramas,United States,2015-2020,5.5,This wartime drama details a pivotal day in 1944 when an Allied task force tried to win World War II by seizing control of key bridges in Holland.
Movie,A Flying Jatt,142,Remo D'Souza,Tiger Shroff,fantasy,India,2015-2020,3.1,"With his carefree lifestyle on the line, a wealthy charmer poses as a ranch hand to get a hardworking farmer to sell her family’s land before Christmas."
Movie,A Fortunate Man,168,Bille August,Esben Smed,fantasy,Denmark,2015-2020,7.2,"When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected."
Movie,A Futile and Stupid Gesture,102,David Wain,Will Forte,commedies,United States,2015-2020,6.8,"Forced to wed his childhood friend, a man obsessed with football attempts to get rid of his wife in order to keep the woman he truly loves."
Movie,A Ghost Story,92,David Lowery,Casey Affleck,commedies,United States,2015-2020,6.9,"Determined to win the heart of his childhood crush from orphanage, EJ becomes a boxer with superpowers and soon confronts a formidable villain."
Movie,A Glimpse Inside the Mind of Charles Swan III,86,Roman Coppola,Charlie Sheen,commedies,United States,2010-2015,4.8,A cop working undercover to trail a possible diamond thief gets caught in a tricky spot when she finds new clues — and new feelings — for the suspect.
Movie,A Go! Go! Cory Carson Christmas,22,"Stanley Moore, Alex Woo",Alan C. Lim,kids,United States,2015-2020,6.8999999999999995,Christmas comes early for an aspiring young journalist when she's sent abroad to get the scoop on a dashing prince who's poised to be king.
Movie,A Grand Night In: The Story of Aardman,59,Richard Mears,Julie Walters,documentary,United Kingdom,2010-2015,7.6,Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?
Movie,A Haunted House,86,Michael Tiddes,Marlon Wayans,horror,United States,2010-2015,5.0,"Despite her vain stepmother and mean stepsisters, an aspiring singer works as an elf at a Christmas tree lot and finds her own holiday miracle."
Movie,A Haunting at Silver Falls: The Return,80,Teo Konuralp,Laura Flannery,horror,United States,2015-2020,3.2,"In this dark satire from director Stanley Kubrick, a young, vicious sociopath in a dystopian England undergoes an experimental rehabilitation therapy."
Movie,A Heavy Heart,109,Thomas Stuber,Peter Kurth,horror,Germany,2010-2015,7.1,"At the center of this engrossing melodrama is a Golden Globe-nominated turn by Debra Winger, who plays a sheltered, slow-witted woman living with her widowed Aunt Frances while working at a dry cleaners."
Movie,A Holiday Engagement,92,Jim Fall,Bonnie Somerville,commedies,United States,2010-2015,6.0249999999999995,"In this live-action adventure, the gang heads to Hawaii, where Timmy learns the source of all fairy magic is in dangerous hands."
Movie,A Home with A View,92,Herman Yau,Francis Chun-Yu Ng,commedies,Hong Kong,2015-2020,5.9,"When gentle, law-abiding Grace confesses to killing her new husband, her skeptical young lawyer sets out to uncover the truth. A film by Tyler Perry."
Movie,A Kid from Coney Island,89,"Coodie, Chike",Stephon Marbury,sport,United States,2015-2020,7.9,A ruthless corporate headhunter battles his rival for a promotion while dealing with a family crisis that threatens to derail his career.
Movie,A Kind of Murder,96,Andy Goddard,Patrick Wilson,thrillers,United States,2015-2020,5.35,M'Dear and her sisters struggle to keep their singing act together before a church Christmas pageant while Grandpa teaches the kids a valuable lesson.
Movie,A Land Imagined,95,Yeo Siew Hua,Peter Yu,romantic,France,2015-2020,6.3,"A gifted engineer flees his austere roots to pursue wealth and success among Copenhagen's elite, but the pride propelling him threatens to be his ruin."
Movie,A Little Chaos,113,Alan Rickman,Kate Winslet,sport,United Kingdom,2010-2015,6.5,"In a brief life full of triumph and failure, ""National Lampoon"" co-founder Doug Kenney built a comedy empire, molding pop culture in the 1970s."
Movie,A Love Story,117,Maryo J. De los Reyes,Maricel Soriano,romantic,Philippines,2005-2010,6.4,"Cory, Chrissy and Freddie are on the hunt for king-sized candy bars this Halloween! But are all the treats worth the trek to the spooky side of town?"
